LocationID,Borough,Zone,Add,mean_long,mean_lat
1,EWR,Newark Airport,"Newark Airport,New York, NY",-74.1744624,40.6895314
2,Queens,Jamaica Bay,"Jamaica Bay,New York, NY",-73.8713099,40.6056632
3,Bronx,Allerton/Pelham Gardens,"Allerton/Pelham Gardens,New York, NY",-73.8453138,40.865278000000004
4,Manhattan,Alphabet City,"Alphabet City,New York, NY",-73.9774916,40.7258428
5,Staten Island,Arden Heights,"Arden Heights,New York, NY",-74.17390569999999,40.5567951
6,Staten Island,Arrochar/Fort Wadsworth,"Arrochar/Fort Wadsworth,New York, NY",-74.0579185,40.6012117
7,Queens,Astoria,"Astoria,New York, NY",-73.92346189999999,40.7643574
8,Queens,Astoria Park,"Astoria Park,New York, NY",-73.9229654,40.7792459
9,Queens,Auburndale,"Auburndale,New York, NY",-73.78339609999999,40.7577672
10,Queens,Baisley Park,"Baisley Park,New York, NY",-73.786025,40.6737751
11,Brooklyn,Bath Beach,"Bath Beach,New York, NY",-74.0062078,40.6038852
12,Manhattan,Battery Park,"Battery Park,New York, NY",-74.0170279,40.7032775
13,Manhattan,Battery Park City,"Battery Park City,New York, NY",-74.0158441,40.7115786
14,Brooklyn,Bay Ridge,"Bay Ridge,New York, NY",-74.0298767,40.6263732
15,Queens,Bay Terrace/Fort Totten,"Bay Terrace/Fort Totten,New York, NY",-73.7760641,40.7922167
16,Queens,Bayside,"Bayside,New York, NY",-73.7654367,40.7585569
17,Brooklyn,Bedford,"Bedford,New York, NY",-73.6437397,41.204262
18,Bronx,Bedford Park,"Bedford Park,New York, NY",-73.8856912,40.8700999
19,Queens,Bellerose,"Bellerose,New York, NY",-73.71540139999999,40.72437070000001
20,Bronx,Belmont,"Belmont,New York, NY",-78.0344506,42.2231241
21,Brooklyn,Bensonhurst East,"Bensonhurst East,New York, NY",-73.9921833,40.6139307
22,Brooklyn,Bensonhurst West,"Bensonhurst West,New York, NY",-73.9921833,40.6139307
23,Staten Island,Bloomfield/Emerson Hill,"Bloomfield/Emerson Hill,New York, NY",-74.17819949999999,40.6126039
24,Manhattan,Bloomingdale,"Bloomingdale,New York, NY",-74.0870965,44.4078279
25,Brooklyn,Boerum Hill,"Boerum Hill,New York, NY",-73.9844722,40.6848689
26,Brooklyn,Borough Park,"Borough Park,New York, NY",-73.9921028,40.6350319
27,Queens,Breezy Point/Fort Tilden/Riis Beach,"Breezy Point/Fort Tilden/Riis Beach,New York, NY",-73.8953425,40.5616379
28,Queens,Briarwood/Jamaica Hills,"Briarwood/Jamaica Hills,New York, NY",-73.81356099999999,40.7109315
29,Brooklyn,Brighton Beach,"Brighton Beach,New York, NY",-73.9596565,40.5780706
30,Queens,Broad Channel,"Broad Channel,New York, NY",-73.8213213,40.6158335
31,Bronx,Bronx Park,"Bronx Park,New York, NY",-73.8706286,40.8608918
32,Bronx,Bronxdale,"Bronxdale,New York, NY",-73.86652409999999,40.8506558
33,Brooklyn,Brooklyn Heights,"Brooklyn Heights,New York, NY",-73.9955523,40.6959294
34,Brooklyn,Brooklyn Navy Yard,"Brooklyn Navy Yard,New York, NY",-73.9712029,40.6985551
35,Brooklyn,Brownsville,"Brownsville,New York, NY",-73.9125304,40.665214
36,Brooklyn,Bushwick North,"Bushwick North,New York, NY",-73.923672,40.692626
37,Brooklyn,Bushwick South,"Bushwick South,New York, NY",-73.923672,40.692626
38,Queens,Cambria Heights,"Cambria Heights,New York, NY",-73.7330753,40.692158
39,Brooklyn,Canarsie,"Canarsie,New York, NY",-73.9060579,40.6402325
40,Brooklyn,Carroll Gardens,"Carroll Gardens,New York, NY",-73.9991637,40.6795331
41,Manhattan,Central Harlem,"Central Harlem,New York, NY",-73.9464769,40.8115504
42,Manhattan,Central Harlem North,"Central Harlem North,New York, NY",-73.95373900000001,40.8009348
43,Manhattan,Central Park,"Central Park,New York, NY",-73.9653551,40.7828647
44,Staten Island,Charleston/Tottenville,"Charleston/Tottenville,New York, NY",-74.2382482,40.53144770000001
45,Manhattan,Chinatown,"Chinatown,New York, NY",-73.9970307,40.7157509
46,Bronx,City Island,"City Island,New York, NY",-73.7874983,40.8468202
47,Bronx,Claremont/Bathgate,"Claremont/Bathgate,New York, NY",-73.90174739999999,40.8384581
48,Manhattan,Clinton East,"Clinton East,New York, NY",-73.9866208,40.7160834
49,Brooklyn,Clinton Hill,"Clinton Hill,New York, NY",-73.9661144,40.6896834
50,Manhattan,Clinton West,"Clinton West,New York, NY",-73.9940677,40.7628038
51,Bronx,Co-Op City,"Co-Op City,New York, NY",-73.82944440000001,40.8738889
52,Brooklyn,Cobble Hill,"Cobble Hill,New York, NY",-73.9962255,40.686536
53,Queens,College Point,"College Point,New York, NY",-73.8389657,40.786395
54,Brooklyn,Columbia Street,"Columbia Street,New York, NY",-73.9801753,40.7171876
55,Brooklyn,Coney Island,"Coney Island,New York, NY",-73.9707016,40.5755438
56,Queens,Corona,"Corona,New York, NY",-73.8642613,40.7449859
57,Queens,Corona,"Corona,New York, NY",-73.8642613,40.7449859
58,Bronx,Country Club,"Country Club,New York, NY",-73.8197222,40.8391667
59,Bronx,Crotona Park,"Crotona Park,New York, NY",-73.8996421,40.8350221
60,Bronx,Crotona Park East,"Crotona Park East,New York, NY",-73.8922443,40.8366473
61,Brooklyn,Crown Heights North,"Crown Heights North,New York, NY",-73.9422324,40.6694022
62,Brooklyn,Crown Heights South,"Crown Heights South,New York, NY",-73.9422324,40.6694022
63,Brooklyn,Cypress Hills,"Cypress Hills,New York, NY",-73.8801301,40.6836118
64,Queens,Douglaston,"Douglaston,New York, NY",-73.74707649999999,40.768713
65,Brooklyn,Downtown Brooklyn/MetroTech,"Downtown Brooklyn/MetroTech,New York, NY",-73.98566339999999,40.6930987
66,Brooklyn,DUMBO/Vinegar Hill,"DUMBO/Vinegar Hill,New York, NY",-73.9847221,40.7030556
67,Brooklyn,Dyker Heights,"Dyker Heights,New York, NY",-74.00958399999999,40.6214932
68,Manhattan,East Chelsea,"East Chelsea,New York, NY",-74.00137370000002,40.7465004
69,Bronx,East Concourse/Concourse Village,"East Concourse/Concourse Village,New York, NY",-73.912585000000007,40.830034
70,Queens,East Elmhurst,"East Elmhurst,New York, NY",-73.8713099,40.7737505
71,Brooklyn,East Flatbush/Farragut,"East Flatbush/Farragut,New York, NY",-73.9298657,40.6373955
72,Brooklyn,East Flatbush/Remsen Village,"East Flatbush/Remsen Village,New York, NY",-73.9199771,40.6527657
73,Queens,East Flushing,"East Flushing,New York, NY",-73.8086418,40.7540534
74,Manhattan,East Harlem North,"East Harlem North,New York, NY",-73.93892129999999,40.7957399
75,Manhattan,East Harlem South,"East Harlem South,New York, NY",-73.93892129999999,40.7957399
76,Brooklyn,East New York,"East New York,New York, NY",-73.8759245,40.6590529
77,Brooklyn,East New York/Pennsylvania Avenue,"East New York/Pennsylvania Avenue,New York, NY",-73.8905344,40.6585561
78,Bronx,East Tremont,"East Tremont,New York, NY",-73.8909693,40.8453781
79,Manhattan,East Village,"East Village,New York, NY",-73.98153370000001,40.7264773
80,Brooklyn,East Williamsburg,"East Williamsburg,New York, NY",-73.9316461,40.7141953
81,Bronx,Eastchester,"Eastchester,New York, NY",-73.8095574,40.95956049999999
82,Queens,Elmhurst,"Elmhurst,New York, NY",-73.8801301,40.737975
83,Queens,Elmhurst/Maspeth,"Elmhurst/Maspeth,New York, NY",-73.88705639999999,40.7301926
84,Staten Island,Eltingville/Annadale/Prince's Bay,"Eltingville/Annadale/Prince's Bay,New York, NY",-74.156292,40.5394463
85,Brooklyn,Erasmus,"Erasmus,New York, NY",-73.9523791,40.6496713
86,Queens,Far Rockaway,"Far Rockaway,New York, NY",-73.74484369999999,40.5998931
